symbol,split,label,n_rows,scope,direction,split_total_rows,share
BTC-USDT,test,DOWN,7890924,within_asset,,33550262,0.23519709026415353
BTC-USDT,test,FLAT,17712023,within_asset,,33550262,0.5279250278283967
BTC-USDT,test,UP,7947315,within_asset,,33550262,0.2368778819074498
BTC-USDT,train,DOWN,22831362,within_asset,,100650783,0.22683740075822362
BTC-USDT,train,FLAT,54964050,within_asset,,100650783,0.5460866608459469
BTC-USDT,train,UP,22855371,within_asset,,100650783,0.22707593839582946
BTC-USDT,valid,DOWN,5416709,within_asset,,33550261,0.16145057709089058
BTC-USDT,valid,FLAT,22620655,within_asset,,33550261,0.6742318636507776
BTC-USDT,valid,UP,5512897,within_asset,,33550261,0.16431755925833186
ETH-USDT,test,DOWN,7889413,within_asset,,22882887,0.34477349820413833
ETH-USDT,test,FLAT,7019489,within_asset,,22882887,0.3067571412645616
ETH-USDT,test,UP,7973985,within_asset,,22882887,0.3484693605313001
ETH-USDT,train,DOWN,21492783,within_asset,,68648659,0.31308379964130106
ETH-USDT,train,FLAT,25698413,within_asset,,68648659,0.374346904576825
ETH-USDT,train,UP,21457463,within_asset,,68648659,0.3125692957818739
ETH-USDT,valid,DOWN,5613797,within_asset,,22882887,0.24532730507300063
ETH-USDT,valid,FLAT,11617427,within_asset,,22882887,0.5076906161359797
ETH-USDT,valid,UP,5651663,within_asset,,22882887,0.2469820787910197
ETH-USDT,test,DOWN,7889413,asset_heldout_target_test,btc_to_eth,22882887,0.34477349820413833
ETH-USDT,test,FLAT,7019489,asset_heldout_target_test,btc_to_eth,22882887,0.3067571412645616
ETH-USDT,test,UP,7973985,asset_heldout_target_test,btc_to_eth,22882887,0.3484693605313001
BTC-USDT,test,DOWN,7890924,asset_heldout_target_test,eth_to_btc,33550262,0.23519709026415353
BTC-USDT,test,FLAT,17712023,asset_heldout_target_test,eth_to_btc,33550262,0.5279250278283967
BTC-USDT,test,UP,7947315,asset_heldout_target_test,eth_to_btc,33550262,0.2368778819074498
