scope,asset_or_direction,model,policy,n_candidates,n_selected,selection_sources,selected_thresholds,selection_audit_status,source_artifact
btc_within_asset_stage3,BTC-USDT,sgd_stage3,RSEP-full,9,1,valid,[9.8641055e-05],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
btc_within_asset_stage3,BTC-USDT,sgd_stage3,cost_aware_threshold,9,1,valid,[0.000127427957],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
btc_within_asset_stage3,BTC-USDT,sgd_stage3,naive_threshold,10,1,valid,[0.8],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3,RSEP-full,9,1,valid,[1.4391646e-05],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3,cost_aware_threshold,9,1,valid,[3.6714177e-05],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3,naive_threshold,10,1,valid,[0.6],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3_stride1,RSEP-full,9,1,valid,[1.1165357e-05],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3_stride1,cost_aware_threshold,9,1,valid,[3.6634694e-05],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
btc_within_asset_stage3,BTC-USDT,tcn_gpu_stage3_stride1,naive_threshold,10,1,valid,[0.6],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
btc_within_asset_stage3,BTC-USDT,xgboost_gpu_stage3,RSEP-full,9,1,valid,[3.2988377e-05],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
btc_within_asset_stage3,BTC-USDT,xgboost_gpu_stage3,cost_aware_threshold,9,1,valid,[3.8545637e-05],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
btc_within_asset_stage3,BTC-USDT,xgboost_gpu_stage3,naive_threshold,10,1,valid,[0.5],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3.csv
eth_within_asset_stage3,ETH-USDT,sgd_eth_stage3,RSEP-full,9,1,valid,[2.3792219e-05],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3_eth_usdt.csv
eth_within_asset_stage3,ETH-USDT,sgd_eth_stage3,cost_aware_threshold,9,1,valid,[4.6384324e-05],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3_eth_usdt.csv
eth_within_asset_stage3,ETH-USDT,sgd_eth_stage3,naive_threshold,10,1,valid,[0.6],PASS_VALIDATION_ONLY,outputs/tables/table_policy_tuning_stage3_eth_usdt.csv
asset_heldout_stage3,btc_to_eth,asset_btc_to_eth_sgd,RSEP-full,9,1,source_valid,[9.8641055e-05],PASS_VALIDATION_ONLY,outputs/tables/table_asset_heldout_policy_tuning_stage3.csv
asset_heldout_stage3,btc_to_eth,asset_btc_to_eth_sgd,cost_aware_threshold,9,1,source_valid,[0.000127427957],PASS_VALIDATION_ONLY,outputs/tables/table_asset_heldout_policy_tuning_stage3.csv
asset_heldout_stage3,btc_to_eth,asset_btc_to_eth_sgd,naive_threshold,10,1,source_valid,[0.8],PASS_VALIDATION_ONLY,outputs/tables/table_asset_heldout_policy_tuning_stage3.csv
asset_heldout_stage3,eth_to_btc,asset_eth_to_btc_sgd,RSEP-full,9,1,source_valid,[2.3792219e-05],PASS_VALIDATION_ONLY,outputs/tables/table_asset_heldout_policy_tuning_stage3.csv
asset_heldout_stage3,eth_to_btc,asset_eth_to_btc_sgd,cost_aware_threshold,9,1,source_valid,[4.6384324e-05],PASS_VALIDATION_ONLY,outputs/tables/table_asset_heldout_policy_tuning_stage3.csv
asset_heldout_stage3,eth_to_btc,asset_eth_to_btc_sgd,naive_threshold,10,1,source_valid,[0.6],PASS_VALIDATION_ONLY,outputs/tables/table_asset_heldout_policy_tuning_stage3.csv
