action,relative_path,exists_before,size_bytes,size_gb,num_rows,num_columns,schema_sha256_16,exists_after,post_status
keep_required,data/predictions/predictions.parquet,True,46243013078,43.0672,167751306,121,a88b70ec028f3afd,True,kept
keep_required,data/splits/splits_eth_stage3.parquet,True,18835545954,17.542,114414433,117,11c57aebf265bfa0,True,kept
delete_tier1,data/predictions/predictions_stage3_xgboost_gpu.parquet,True,44399354139,41.3501,167751306,121,a88b70ec028f3afd,False,deleted_or_absent
delete_tier1,data/predictions/predictions_stage3_tcn_gpu_stride1_execution_ready.parquet,True,10237057247,9.534,68088247,99,9fa964614518c2d8,False,deleted_or_absent
delete_tier1,data/predictions/predictions_stage3_tcn_gpu_execution_ready.parquet,True,2184847851,2.0348,7709170,99,9fa964614518c2d8,False,deleted_or_absent
delete_tier1,data/predictions/predictions_stage3_tcn_gpu_pilot.parquet,True,46360651,0.0432,750000,22,5763f5d734a64cc2,False,deleted_or_absent
delete_tier1,data/predictions/predictions_stage3_deeplob_faithful_lite_pilot.parquet,True,46442107,0.0433,750000,22,5763f5d734a64cc2,False,deleted_or_absent
delete_tier1,data/predictions/predictions_stage3_deeplob_pilot.parquet,True,912704,0.0009,15000,22,5763f5d734a64cc2,False,deleted_or_absent
delete_tier1,data/predictions/predictions_stage3_lob_transformer_pilot.parquet,True,928727,0.0009,15000,22,5763f5d734a64cc2,False,deleted_or_absent
delete_tier1,data/predictions/predictions_asset_eth_to_btc_sgd.parquet,True,9380718024,8.7365,33550262,121,a88b70ec028f3afd,False,deleted_or_absent
delete_tier1,data/predictions/predictions_asset_btc_to_eth_sgd.parquet,True,7423599263,6.9138,22882887,121,a88b70ec028f3afd,False,deleted_or_absent
delete_tier1,data/predictions/predictions_stage3_tcn_gpu_execution_ready_smoke.parquet,True,179394,0.0002,300,99,9fa964614518c2d8,False,deleted_or_absent
delete_tier1,data/predictions/predictions_stage3_tcn_gpu_stride1_execution_ready_smoke.parquet,True,146565,0.0001,300,99,9fa964614518c2d8,False,deleted_or_absent
delete_tier1,data/predictions/predictions_stage3_tcn_gpu_execution_ready_compile_probe.parquet,True,95093,0.0001,30,99,9fa964614518c2d8,False,deleted_or_absent
delete_tier2_if_needed,data/features/features_eth_stage3.parquet,True,28738058785,26.7644,114414433,111,e12af13791cd2be7,False,deleted_or_absent
delete_tier2_if_needed,data/labels/labels_eth_stage3.parquet,True,28745773219,26.7716,114414433,112,534d249022d8993c,False,deleted_or_absent
delete_tier2_if_needed,data/regimes/regimes_eth_stage3.parquet,True,30873838141,28.7535,114414433,116,32df59ee99db8559,False,deleted_or_absent
