model,axis,level,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
sgd_stage3,depth_multiplier,0.5,33651,2231.224192117492,-4484.193910236216,6715.418102353708,374.8666495632558,-0.1332558886878908,-2.0097460067339066,-4484.850134313955
sgd_stage3,depth_multiplier,0.75,33702,2275.3354976340784,-4456.718631357277,6732.054128991356,375.7207072338388,-0.1322389956488421,-1.9587083469630864,-4457.378046287575
sgd_stage3,depth_multiplier,1.0,33713,2300.8222825707703,-4437.492424989721,6738.314707560492,376.0426918140757,-0.13162555764808,-1.9286550111256715,-4438.154992163394
sgd_stage3,fee_bps,0.0,33713,2300.8222825707703,2300.8222825707703,0.0,376.0426918140757,0.068247331372787,1.0,-11.01421713740342
sgd_stage3,fee_bps,1.0,33713,2300.8222825707703,-4437.492424989721,6738.314707560492,376.0426918140757,-0.13162555764808,-1.9286550111256715,-4438.154992163394
sgd_stage3,fee_bps,2.0,33713,2300.8222825707703,-11175.807132550211,13476.629415120984,376.0426918140757,-0.331498446668947,-4.857310022251342,-11175.553154817011
sgd_stage3,fee_bps,5.0,33713,2300.8222825707703,-31390.751255231688,33691.573537802455,376.0426918140757,-0.9311171137315484,-13.643275055628356,-31389.897321296445
sgd_stage3,fee_bps,10.0,33713,2300.8222825707703,-65082.32479303415,67383.14707560491,376.0426918140757,-1.930481558835884,-28.286550111256712,-65080.47093209551
sgd_stage3,latency_events,0.0,33686,3160.8145494241217,-3569.7315751986894,6730.546124622812,375.655306975341,-0.1059707764412126,-1.1293707743306451,-3570.507985118447
sgd_stage3,latency_events,1.0,33713,2300.8222825707703,-4437.492424989721,6738.314707560492,376.0426918140757,-0.13162555764808,-1.9286550111256715,-4438.154992163394
sgd_stage3,latency_events,5.0,33721,1173.5099112444111,-5567.373252928525,6740.883164172937,376.17790443429294,-0.1651010721191105,-4.744206418354644,-5567.618030103926
sgd_stage3,latency_events,10.0,33729,647.1501229370693,-6096.919357374624,6744.069480311694,376.3391337236093,-0.1807619365345733,-9.421182413910328,-6097.341642267866
sgd_stage3,spread_multiplier,1.0,33713,2300.8222825707703,-4437.492424989721,6738.314707560492,376.0426918140757,-0.13162555764808,-1.9286550111256715,-4438.154992163394
sgd_stage3,spread_multiplier,1.5,33713,2264.7303167913733,-4473.5845484611045,6738.314865252477,376.0426918140757,-0.1326961275609143,-1.9753277091283847,-4474.238815072104
sgd_stage3,spread_multiplier,2.0,33713,2228.6383510119767,-4509.676671932487,6738.315022944463,376.0426918140757,-0.1337666974737486,-2.0235121009583,-4510.322637980849
xgboost_gpu_stage3,depth_multiplier,0.5,36132,2839.71549331201,-4344.946797324153,7184.662290636163,390.0090463472101,-0.1202520424367362,-1.530064123521249,-4344.832577695199
xgboost_gpu_stage3,depth_multiplier,0.75,36290,2912.938319942404,-4321.526512689442,7234.464832631846,392.5750480853442,-0.1190831224218639,-1.4835626566836777,-4321.412293060444
xgboost_gpu_stage3,depth_multiplier,1.0,36360,2953.001171721243,-4303.192190442313,7256.193362163556,393.6910790521544,-0.1183496201991835,-1.4572267128272327,-4303.07797081335
xgboost_gpu_stage3,fee_bps,0.0,36360,2953.001171721243,2953.001171721243,0.0,393.6910790521544,0.0812156537877129,1.0,-3.7377615155680814
xgboost_gpu_stage3,fee_bps,1.0,36360,2953.001171721243,-4303.192190442313,7256.193362163556,393.6910790521544,-0.1183496201991835,-1.4572267128272327,-4303.07797081335
xgboost_gpu_stage3,fee_bps,2.0,36360,2953.001171721243,-11559.38555260587,14512.386724327112,393.6910790521544,-0.31791489418608,-3.914453425654466,-11559.071341576457
xgboost_gpu_stage3,fee_bps,5.0,36360,2953.001171721243,-33327.96563909654,36280.96681081778,393.6910790521544,-0.9166107161467696,-11.286133564136165,-33327.05145386584
xgboost_gpu_stage3,fee_bps,10.0,36360,2953.001171721243,-69608.93244991431,72561.93362163556,393.6910790521544,-1.914437086081252,-23.57226712827233,-69607.01830768108
xgboost_gpu_stage3,latency_events,0.0,36288,3698.379810336058,-3540.184391300295,7238.564201636353,392.7963775867101,-0.0975579913828344,-0.9572257509643424,-3540.1283497230656
xgboost_gpu_stage3,latency_events,1.0,36360,2953.001171721243,-4303.192190442313,7256.193362163556,393.6910790521544,-0.1183496201991835,-1.4572267128272327,-4303.07797081335
xgboost_gpu_stage3,latency_events,5.0,36394,2056.8077498184302,-5212.976091914874,7269.783841733305,394.3989120719332,-0.1432372394327327,-2.53449846850055,-5213.205293590195
xgboost_gpu_stage3,latency_events,10.0,36421,1516.5254462522705,-5761.121365144494,7277.646811396765,394.8000495095815,-0.1581813065304218,-3.798895283545506,-5761.322069168302
xgboost_gpu_stage3,spread_multiplier,1.0,36360,2953.001171721243,-4303.192190442313,7256.193362163556,393.6910790521544,-0.1183496201991835,-1.4572267128272327,-4303.07797081335
xgboost_gpu_stage3,spread_multiplier,1.5,36360,2895.254042329944,-4360.939593895319,7256.193636225262,393.6910790521544,-0.1199378326153828,-1.5062372870001663,-4360.82531835821
xgboost_gpu_stage3,spread_multiplier,2.0,36360,2837.5069129386297,-4418.686997348336,7256.193910286967,393.6910790521544,-0.1215260450315824,-1.557242725013197,-4418.572665902957
tcn_gpu_stage3,depth_multiplier,0.5,619,-4.929954120995372,-128.5283937755002,123.59843965450486,7.173515789259326,-0.2076387621575124,,-134.43304404528735
tcn_gpu_stage3,depth_multiplier,0.75,619,-4.744141208190104,-128.49410266800527,123.74996145981515,7.181402686850767,-0.2075833645686676,,-134.41434456035188
tcn_gpu_stage3,depth_multiplier,1.0,619,-4.664455767581416,-128.4293425721194,123.764886804538,7.182172978255,-0.2074787440583512,,-134.36371103670052
tcn_gpu_stage3,fee_bps,0.0,619,-4.664455767581416,-4.664455767581416,0.0,7.182172978255,-0.0075354697376113,,-29.384268800338702
tcn_gpu_stage3,fee_bps,1.0,619,-4.664455767581416,-128.4293425721194,123.764886804538,7.182172978255,-0.2074787440583512,,-134.36371103670052
tcn_gpu_stage3,fee_bps,2.0,619,-4.664455767581416,-252.1942293766574,247.529773609076,7.182172978255,-0.4074220183790911,,-252.73255584897527
tcn_gpu_stage3,fee_bps,5.0,619,-4.664455767581416,-623.4888897902714,618.82443402269,7.182172978255,-1.0072518413413107,,-623.4274977042426
tcn_gpu_stage3,fee_bps,10.0,619,-4.664455767581416,-1242.3133238129612,1237.64886804538,7.182172978255,-2.00696821294501,,-1241.2524007963552
tcn_gpu_stage3,latency_events,0.0,619,19.230807716922293,-104.50034814471236,123.73115586163463,7.180449366294439,-0.168821240944608,-5.434007228555277,-111.8966571533324
tcn_gpu_stage3,latency_events,1.0,619,-4.664455767581416,-128.4293425721194,123.764886804538,7.182172978255,-0.2074787440583512,,-134.36371103670052
tcn_gpu_stage3,latency_events,5.0,619,-23.006463496243704,-146.77083545053145,123.76437195428775,7.182175393017927,-0.2371095887730718,,-148.72323491900045
tcn_gpu_stage3,latency_events,10.0,619,-34.39217956287113,-158.08212781152517,123.68994824865402,7.178187683781936,-0.2553830820864703,,-159.13339698289988
tcn_gpu_stage3,spread_multiplier,1.0,619,-4.664455767581416,-128.4293425721194,123.764886804538,7.182172978255,-0.2074787440583512,,-134.36371103670052
tcn_gpu_stage3,spread_multiplier,1.5,619,-4.88149061315756,-128.64638451093754,123.76489389777998,7.182172978255,-0.2078293772389944,,-134.54084755221933
tcn_gpu_stage3,spread_multiplier,2.0,619,-5.098525458732087,-128.86342644975406,123.764900991022,7.182172978255,-0.208180010419635,,-134.71798406773632
tcn_gpu_stage3_stride1,depth_multiplier,0.5,5423,264.882439164047,-818.1022379434114,1082.9846771074583,62.4554094204105,-0.1508578716473191,-3.088548416139978,-817.5552280151483
tcn_gpu_stage3_stride1,depth_multiplier,0.75,5430,269.24910686466376,-815.4954465116459,1084.7445533763096,62.54818048690511,-0.1501833234828077,-3.028776793386168,-814.948436583382
tcn_gpu_stage3_stride1,depth_multiplier,1.0,5435,271.7315744987493,-814.1668892095277,1085.8984637082772,62.61007721389807,-0.1498007155859296,-2.9962174646482795,-813.6198792812622
tcn_gpu_stage3_stride1,fee_bps,0.0,5435,271.7315744987493,271.7315744987493,0.0,62.61007721389807,0.0499966098433761,1.0,-9.556673422698964
tcn_gpu_stage3_stride1,fee_bps,1.0,5435,271.7315744987493,-814.1668892095277,1085.8984637082772,62.61007721389807,-0.1498007155859296,-2.9962174646482795,-813.6198792812622
tcn_gpu_stage3_stride1,fee_bps,2.0,5435,271.7315744987493,-1900.0653529178048,2171.7969274165544,62.61007721389807,-0.3495980410152355,-6.992434929296559,-1899.3183776939995
tcn_gpu_stage3_stride1,fee_bps,5.0,5435,271.7315744987493,-5157.760744042635,5429.4923185413845,62.61007721389807,-0.9489900173031528,-18.9810873232414,-5156.413872932189
tcn_gpu_stage3_stride1,fee_bps,10.0,5435,271.7315744987493,-10587.25306258402,10858.984637082767,62.61007721389807,-1.947976644449681,-38.96217464648279,-10584.906364995944
tcn_gpu_stage3_stride1,latency_events,0.0,5435,322.46061505470675,-763.4963591993851,1085.956974254092,62.61292710403001,-0.1404777109842475,-2.3677197262365044,-762.9493492711174
tcn_gpu_stage3_stride1,latency_events,1.0,5435,271.7315744987493,-814.1668892095277,1085.8984637082772,62.61007721389807,-0.1498007155859296,-2.9962174646482795,-813.6198792812622
tcn_gpu_stage3_stride1,latency_events,5.0,5437,180.4779740810731,-906.0373450858514,1086.5153191669244,62.641253545635806,-0.1666428812002669,-5.020210082139149,-905.490335157589
tcn_gpu_stage3_stride1,latency_events,10.0,5437,132.38601883530322,-954.5926845993552,1086.9787034346584,62.667097869147305,-0.1755734200109169,-7.210675968637824,-954.1939716901844
tcn_gpu_stage3_stride1,spread_multiplier,1.0,5435,271.7315744987493,-814.1668892095277,1085.8984637082772,62.61007721389807,-0.1498007155859296,-2.9962174646482795,-813.6198792812622
tcn_gpu_stage3_stride1,spread_multiplier,1.5,5435,268.97642591530496,-816.9220370187917,1085.8984629340966,62.61007721389807,-0.1503076425057574,-3.0371510597587585,-816.3749712113097
tcn_gpu_stage3_stride1,spread_multiplier,2.0,5435,266.2212773318612,-819.6771848280553,1085.8984621599163,62.61007721389807,-0.1508145694255851,-3.0789319059808937,-819.1300631413541
