policy,regime,gross_pnl,net_pnl,n_trades
naive_threshold,BALANCED_TRANSITION,10233.449985174635,-25111.123785198608,176862
naive_threshold,CALM_ILLIQUID,369.97149302032966,-920.1109803233905,6452
naive_threshold,CALM_LIQUID,1364.250435439554,-2734.569073897638,20502
naive_threshold,CHOPPY_MEAN_REVERTING,41129.38066492168,-114632.7478469749,779295
naive_threshold,LIQUIDITY_DROUGHT,1675.737379964804,-5026.9116677811935,33539
naive_threshold,MILD_LIQUIDITY_STRESS,7249.630305837343,-21674.046431905943,144705
naive_threshold,MOMENTUM_TOXIC,35728.58207977988,-96698.51171028211,662485
naive_threshold,SHOCK_RECOVERY,16348.482426301265,-45303.20450431257,308450
naive_threshold,UNKNOWN,18461.84127198842,-50071.539235775126,342889
naive_threshold,VOLATILE_ILLIQUID,724.0461548423489,-2405.304166769079,15650
naive_threshold,VOLATILE_LIQUID,9.601513505613788,-5.183739511464044,74
cost_aware_threshold,BALANCED_TRANSITION,38386.52054481806,-88110.08771712032,632953
cost_aware_threshold,CALM_ILLIQUID,1144.3800774201904,-2310.9432497967273,17279
cost_aware_threshold,CALM_LIQUID,5279.628422584231,-10650.195453557442,79675
cost_aware_threshold,CHOPPY_MEAN_REVERTING,51357.71017638835,-134908.94251207207,931871
cost_aware_threshold,LIQUIDITY_DROUGHT,4992.128145138912,-13225.16286884561,91157
cost_aware_threshold,MILD_LIQUIDITY_STRESS,23231.464326404173,-55822.040998144286,395510
cost_aware_threshold,MOMENTUM_TOXIC,66942.24954913711,-181861.34773266088,1244657
cost_aware_threshold,SHOCK_RECOVERY,29173.19404255561,-77825.60025538682,535300
cost_aware_threshold,UNKNOWN,41371.14353585706,-105608.77083782066,735383
cost_aware_threshold,VOLATILE_ILLIQUID,1121.4980579665826,-3289.804203054839,22061
cost_aware_threshold,VOLATILE_LIQUID,30.306348752712687,-37.67790285501087,340
