model,model_backend,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
xgboost_gpu_stage3,xgboost_gpu,BALANCED_TRANSITION,0.6290288437112703,0.38130753563928604,0.5463041365328064,0.1792757089825061,0.39504266690464807,7274792
xgboost_gpu_stage3,xgboost_gpu,CALM_ILLIQUID,0.661559948277956,0.4034913155279965,0.585678231877343,0.21966683786893046,0.40818756197427847,279958
xgboost_gpu_stage3,xgboost_gpu,CALM_LIQUID,0.6562694826688605,0.384517774337446,0.5751738055234429,0.18059505167232467,0.3938861998054944,777935
xgboost_gpu_stage3,xgboost_gpu,CHOPPY_MEAN_REVERTING,0.4380281850813615,0.4379284533715076,0.4378978959089649,0.1572105815823522,0.43800841881535585,4558298
xgboost_gpu_stage3,xgboost_gpu,LIQUIDITY_DROUGHT,0.5750691473282469,0.4009450026961739,0.5076414172601731,0.18542703797164406,0.41206202831460786,883259
xgboost_gpu_stage3,xgboost_gpu,MILD_LIQUIDITY_STRESS,0.6270861197259627,0.41006978803762345,0.5577140450510629,0.21281565603631072,0.4152253352104278,5391529
xgboost_gpu_stage3,xgboost_gpu,MOMENTUM_TOXIC,0.5369818475151845,0.46308773676406895,0.5134374455894596,0.2284766117552775,0.46253606524569496,6086770
xgboost_gpu_stage3,xgboost_gpu,SHOCK_RECOVERY,0.5614292122598328,0.47883682646880393,0.5449043290681741,0.24815115552423211,0.4752888717958723,3225721
xgboost_gpu_stage3,xgboost_gpu,UNKNOWN,0.5539497694278708,0.4396367431770554,0.5110565606722361,0.21747353633543337,0.44291652638592643,4916249
xgboost_gpu_stage3,xgboost_gpu,VOLATILE_ILLIQUID,0.5433543826516896,0.4892286371171415,0.5341503267105457,0.26038712839914446,0.4878342167048846,152499
xgboost_gpu_stage3,xgboost_gpu,VOLATILE_LIQUID,0.6771217712177122,0.42593741630284515,0.6225677753239022,0.189630256705294,0.4163008851952618,3252
