model,axis,robustness_auc
sgd_stage3,depth_multiplier,-4458.780899485123
sgd_stage3,fee_bps,-31390.751255231688
sgd_stage3,latency_events,-5317.4074881688575
sgd_stage3,latency_half_life,
sgd_stage3,spread_multiplier,-4473.584548461104
xgboost_gpu_stage3,depth_multiplier,-4322.798003286338
xgboost_gpu_stage3,fee_bps,-33327.96563909653
xgboost_gpu_stage3,latency_events,-5038.9268498234105
xgboost_gpu_stage3,latency_half_life,
xgboost_gpu_stage3,spread_multiplier,-4360.939593895321
tcn_gpu_stage3,depth_multiplier,-128.48648542090754
tcn_gpu_stage3,fee_bps,-623.4888897902713
tcn_gpu_stage3,latency_events,-142.8997609558859
tcn_gpu_stage3,latency_half_life,
tcn_gpu_stage3,spread_multiplier,-128.64638451093714
tcn_gpu_stage3_stride1,depth_multiplier,-815.8150050440577
tcn_gpu_stage3_stride1,fee_bps,-5157.7607440426345
tcn_gpu_stage3_stride1,latency_events,-888.0815167008232
tcn_gpu_stage3_stride1,latency_half_life,
tcn_gpu_stage3_stride1,spread_multiplier,-816.9220370187916
