regime,n_runs,mean_run_length,p50_run_length,p90_run_length,p99_run_length,max_run_length
BALANCED_TRANSITION,2968071,7.680285276194539,3.0,19.0,66.0,419
CALM_ILLIQUID,628648,8.899516104401828,3.0,21.0,88.0,498
CALM_LIQUID,485363,9.362075395116644,3.0,21.0,108.0,474
CHOPPY_MEAN_REVERTING,1156574,12.600693946085594,7.0,31.0,74.0,303
LIQUIDITY_DROUGHT,788875,3.5846147995563302,2.0,8.0,29.0,235
MILD_LIQUIDITY_STRESS,3306405,4.960074159094243,2.0,12.0,38.0,322
MOMENTUM_TOXIC,1169280,16.59742747673782,10.0,45.0,61.0,195
SHOCK_RECOVERY,1214256,8.313539319550408,4.0,21.0,51.0,156
UNKNOWN,3390732,4.278713563914812,2.0,10.0,31.0,190
VOLATILE_ILLIQUID,505349,6.159869713801749,3.0,16.0,48.0,180
VOLATILE_LIQUID,78882,7.048642275804366,3.0,18.0,50.0,153
