model,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,test_rows,best_policy,best_policy_net_pnl,best_policy_n_trades,rsep_vs_cost_aware_mean_diff,rsep_vs_cost_aware_ci_low,rsep_vs_cost_aware_ci_high,best_validation_policy,best_validation_net_pnl,best_validation_n_trades,rsep_test_policy,rsep_test_n_trades,rsep_test_gross_pnl,rsep_test_net_pnl,rsep_test_total_cost,rsep_test_turnover,rsep_test_net_pnl_per_trade,rsep_test_cost_survival,rsep_test_max_drawdown,rsep_test_threshold,bootstrap_rsep_vs_cost_aware_mean_diff,bootstrap_rsep_vs_cost_aware_ci_low,bootstrap_rsep_vs_cost_aware_ci_high,n_days,n_bootstrap,evaluation_scope,model_type,n_rows
sgd_stage3,0.5589236233088135,0.4651938936393822,0.5352928708538465,0.2363343627718826,0.4637370420120062,33550262.0,RSEP-full,-4437.492424989721,33713.0,68.52514254066054,59.67645950648641,77.22922570561714,RSEP-full,-717.5373259006718,5868.0,sgd_stage3_RSEP-full_tuned,33713.0,2300.8222825707703,-4437.492424989721,6738.314707560492,376.0426918140757,-0.13162555764808,-1.9286550111256715,-4438.154992163394,9.8641055e-05,68.52514254066054,59.67645950648641,77.22922570561714,65.0,1000.0,full_year_test,,
xgboost_gpu_stage3,0.5676637040867222,0.4562407660052441,0.532080181021275,0.2363690740470592,0.4554957887412827,33550262.0,RSEP-full,-4303.192190442313,36360.0,2.9415342854848308,1.0723368611951716,4.927118205265525,RSEP-full,-492.4482467691277,4050.0,xgboost_gpu_stage3_RSEP-full_tuned,36360.0,2953.001171721243,-4303.192190442313,7256.193362163556,393.6910790521544,-0.1183496201991835,-1.4572267128272327,-4303.07797081335,3.2988377e-05,2.9415342854848308,1.0723368611951716,4.927118205265525,65.0,1000.0,full_year_test,,
tcn_gpu_stage3,0.5281819498872293,0.4688776156382125,0.5285413347492102,0.2274774057999311,0.469199602192841,3354594.0,RSEP-full,-128.4293425721194,619.0,1.495077138619905,0.022912905987358,3.5549921488370075,RSEP-full,-244.41208573487813,1716.0,tcn_gpu_stage3_RSEP-full_tuned,619.0,-4.664455767581416,-128.4293425721194,123.764886804538,7.182172978255,-0.2074787440583512,,-134.36371103670052,1.4391646e-05,1.495077138619905,0.022912905987358,3.5549921488370075,64.0,1000.0,full_year_test,,
tcn_gpu_stage3_stride1,0.5281071238532205,0.4687752351367104,0.5284518616754605,0.2273893800677564,0.4690906852368227,33543827.0,cost_aware_threshold,-787.9979672806533,4570.0,-0.4025987989057581,-4.460466065997088,4.449435357469534,RSEP-full,-389.6664334571571,2982.0,tcn_gpu_stage3_stride1_RSEP-full_tuned,5435.0,271.7315744987493,-814.1668892095277,1085.8984637082772,62.61007721389807,-0.1498007155859296,-2.9962174646482795,-813.6198792812622,1.1165357e-05,-0.4025987989057581,-4.460466065997088,4.449435357469534,65.0,1000.0,full_year_test,,
tcn_gpu_stage3_pilot,0.564524,0.4725758850626813,0.5664342423957283,0.238845363657221,0.474145185809358,,,,,,,,,,,,,,,,,,,,,,,,,,temporal_pilot_sample,tcn,500000.0
deeplob_faithful_lite_stage3_pilot,0.519808,0.4336985742115964,0.5164677947565084,0.1605575771462028,0.4420893009972202,,,,,,,,,,,,,,,,,,,,,,,,,,temporal_pilot_sample,deeplob_faithful_lite,500000.0
deeplob_stage3_pilot,0.5791,0.2444852553142085,0.4247442340573744,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,temporal_pilot_sample,deeplob,10000.0
lob_transformer_stage3_pilot,0.5788,0.244405033358669,0.4246048644540157,-0.0102403364751524,0.333160651585794,,,,,,,,,,,,,,,,,,,,,,,,,,temporal_pilot_sample,lob_transformer,10000.0
deeplob_cnn_lstm_purged_subsample,0.43666,0.3483462777965186,0.437442466125745,0.0220645397638902,0.348711542375189,,,,,,,,,,,,,,,,,,,,,,,,,,temporal_pilot_sample,deeplob,50000.0
deeplob_cnn_lstm_stage3_full,0.5804,0.2448325318484772,0.42630240445456846,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,stage3_deeplob_full_train_stride10_valid_test,deeplob,10000.0
